Description	Code
upto 1. Returns False otherwise	"

def sum_upto_one(arr):
	arr_sum = sum(arr)
	try:
        assert float(arr_sum) == 1.0
        return True
	except AssertionError:
        return False
"
string	"

str1 = ""python1234""

total_digits = 0
total_letters = 0

for s in str1:

	if s.isnumeric():
        total_digits += 1
	else:
        total_letters += 1

print(""Total letters found : "", total_letters)
print(""Total digits found : "", total_digits)
"
and print it	"string = 'The quick brown fox jumps over the lazy dog'
print(string.title())
"
Write a python Class to calculate area of a rectangle and print the area	"

class rectangle():
	def __init__(self, breadth, length):
        self.breadth = breadth
        self.length = length

	def area(self):
        return self.breadth * self.length


a = 6
b = 4
obj = rectangle(a, b)
print(""Area of rectangle:"", obj.area())
"
3 add 1 to all elements in list python	"lst = [1, 2, 3]
list(map(lambda x: x + 1, lst))
"
and write to a user input file	"import re


def extract_mailid(my_string, outfile):
	regex = re.compile(r'[\w]+@[\w]+\.[\w]+', re.UNICODE)
	mailids = regex.findall(my_string)
	if(len(mailids) > 0):
        with open(outfile, 'w') as mailfile:
            for mailid in mailids:
                mailfile.write(mailid + ""\n"")
        mailfile.close()
"
arithmetic progression or not.	"

def is_arithmetic(l):
	delta = l[1] - l[0]
	for index in range(len(l) - 1):
        if not (l[index + 1] - l[index] == delta):
            return False
	return True
"
nested dictionary and return it	"def lists_to_dict(test_list1, test_list2, test_list3):
	res = [{a: {b: c}}
           for (a, b, c) in zip(test_list1, test_list2, test_list3)]
	return res
"
selling price	"def find_profit_or_loss(cp, sp):
	if cp > sp:
        return 'loss', cp - sp
	elif cp < sp:
        return 'profit', sp - cp
	else:
        return 'no profit or loss', 0
"
68 Write a Python function to find the length of the last word.	"def length_of_last_word(s):
	words = s.split()
	if len(words) == 0:
        return 0
	return len(words[-1])
"
write a Python function to Remove all duplicates from a given string	"def removeDuplicate(str):
	s = set(str)
	s = """".join(s)
	print(""Without Order:"", s)
	t = """"
	for i in str:
        if(i in t):
            pass
        else:
            t = t + i
	print(""With Order:"", t)


str1 = ""geeksforgeeks""
removeDuplicate(str1)
"
16. Python program to find the factorial of a number.	"num = 7
factorial = 1


if num < 0:
	print(""Sorry, factorial does not exist for negative numbers"")
elif num == 0:
	print(""The factorial of 0 is 1"")
else:
	for i in range(1, num + 1):
        factorial = factorial * i
	print(""The factorial of"", num, ""is"", factorial)
"
18. python program to compare strings	"def compare_using_equals(n):
	a = 'a long string that is not intered' * 200
	b = 'a long string that is not intered' * 200
	for i in range(n):
        if a == b:
            pass
"
first half values in one line and the last half values in one line.	"tp = (1, 2, 3, 4, 5, 6, 7, 8, 9, 10)
tp1 = tp[:5]
tp2 = tp[5:]
print(tp1)
print(tp2)
"
Write a Python program to find the first repeated character in a given string	"def first_repeated_char(str1):
	for index, c in enumerate(str1):
        if str1[:index + 1].count(c) > 1:
            return c
	return ""None""
"
write a python function to find the factors of a number	"

def print_factors(x):
	print(""The factors of"", x, ""are:"")
	for i in range(1, x + 1):
        if x % i == 0:
            print(i)


num = 63
print_factors(num)
"
Write a function to merge dictionaries	"def merge1():
	test_list1 = [{""a"": 1, ""b"": 4}, {""c"": 10, ""d"": 15},
                  {""f"": ""gfg""}]
	test_list2 = [{""e"": 6}, {""f"": 3, ""fg"": 10, ""h"": 1},
                  {""i"": 10}]
	print(""The original list 1 is : "" + str(test_list1))
	print(""The original list 2 is : "" + str(test_list2))
	for idx in range(0, len(test_list1)):
        id_keys = list(test_list1[idx].keys())
        for key in test_list2[idx]:

            if key not in id_keys:
                test_list1[idx][key] = test_list2[idx][key]

	print(""The Merged Dictionary list : "" + str(test_list1))
"
dictionary input	"def flatten_dict(dd, separator='_', prefix=''):
	flattened = {prefix + separator + k if prefix else k: v
                 for kk, vv in dd.items()
                 for k, v in flatten_dict(vv, separator, kk).items()
                 } if isinstance(dd, dict) else {prefix: dd}
	return flattened
"
Write a  python program to print the last element of a list	"list1 = ['p', 'r', 'o', 'b', 'e']


print(list1[-1])
"
list or tuple or string and returns the new sorted sequence	"def sort_and_merge(l1, l2):
	new_list = []
	i = 0
	j = 0
	l1_len = len(l1)
	l2_len = len(l2)
	while (i <= l1_len - 1) and (j <= l2_len - 1):
        if l1[i] < l2[j]:
            new_list.append(l1[i])
            i += 1
        else:
            new_list.append(l2[j])
            j += 1
	if i <= (l1_len - 1):
        new_list += l1[i:]
	if j <= (l2_len - 1):
        new_list += l2[j:]
	return new_list


def recursive_merge_sort(list_to_be_sorted):
	final_list = []
	first = 0
	last = len(list_to_be_sorted)
	if last <= 1:
        final_list.extend(list_to_be_sorted)
	else:
        mid = last // 2
        l1 = recursive_merge_sort(list_to_be_sorted[:mid])
        l2 = recursive_merge_sort(list_to_be_sorted[mid:])
        final_list.extend(sort_and_merge(l1, l2))
	return final_list
"
second one into the first	"a = {""a"": 1, ""b"": 3}
b = {""c"": 1, ""d"": 3}
a.update(b)
"
keep only the items that are present in both sets	"x = {""apple"", ""banana"", ""cherry""}
y = {""google"", ""microsoft"", ""apple""}


x.intersection_update(y)
print(f""Duplicate Value in Two set:{x}"")
"
value using any() + map() + lambda	"test_tup = (10, 4, 5, 6, None)
res = any(map(lambda ele: ele is None, test_tup))
print(""Does tuple contain any None value ? : "" + str(res))
"
"""name tag"":"	"my_tup = (1,)
print(id(my_tup))
my_tup += (4,)
print(id(my_tup))
my_tup = my_tup + (5,)
print(id(my_tup))
"
write a python program to print binary ones complement on a variable	"a = 60
ones_complement_a = ~a
print(ones_complement_a)
"
Write a Python program to sort (ascending) a dictionary by value.	"d = {1: 2, 3: 4, 4: 3, 2: 1, 0: 0}


print({k: v for k, v in sorted(d.items(), key=lambda x: x[1])})
"
write a python program to print a list in reverse	"a = [1, 2, 3]
print(a[::-1])
"
Write a function to return the median of numbers in a list	"def cal_median(num_list: list) -> float:
	if num_list:
        if len(num_list) % 2 != 0:
            return sorted(num_list)[int(len(num_list) / 2) - 1]
        else:
            return (sorted(num_list)[int(len(num_list) / 2) - 1] + sorted(num_list)[int(len(num_list) / 2)]) / 2
	else:
        return None
"
write a Python function to print even length words in a string	"

def printWords(s):
	s = s.split(' ')

	for word in s:
        if len(word) % 2 == 0:
            print(word)


s = ""i am muskan""
printWords(s)
"
set2, but not both	"set1 = {10, 20, 30, 40, 50}
set2 = {30, 40, 50, 60, 70}
print(set1.symmetric_difference(set2))
"
11 print how many keys are in a dictionary python	"a = {'foo': 42, 'bar': 69}
print(len(a))
"
distance of object and distance of image from lense	"def cal_focal_length_of_lense(u: float, v: float) -> float:
	return (u * v) / (u + v)
"
Generate  random String of length 5	"import random
import string


def randomString(stringLength):
	
	letters = string.ascii_letters
	return ''.join(random.choice(letters) for i in range(stringLength))


print(""Random String is "", randomString(5))
"
46. Python Program to Remove Punctuations From a String	"

punctuations = '''!()-[]{};:'""\\,<>./?@#$%^&*_~'''


my_str = ""Hello!!!, he said ---and went.""
"
Convert decimal number to octal	"print('%o,' % (8))
"
write a python function that joins strings in a list and returns the result	"def join_string_parts(str_list):
	return "" "".join(str_list)
"
4 write a python function to print the factorial of a number	"

def factorial(x):
	prod = 1
	for i in range(1, x + 1):
        prod *= i

	return prod
"
removed item	"my_list1 = [4, 3, 2, 9, 10, 44, 1, 9, 12]
index = 4
print(f""Sum of two list:,{my_list1.pop(index)}"")
"
76 Write a Python function to converting an integer to a string in any base.	"def to_string(n, base):
	conver_tString = ""0123456789ABCDEF""
	if n < base:
        return conver_tString[n]
	else:
        return to_string(n // base, base) + conver_tString[n % base]
"
numbers in [5,6,77,45,22,12,24].	"li = [5, 6, 77, 45, 22, 12, 24]
li = [x for x in li if x % 2 != 0]
print(li)
"
Write a python function that Counts the Number of Blank Spaces in a Text File	"

def count_blank_space(fname):
	k = 0
	with open(fname, 'r') as f:
        for line in f:
            words = line.split()
            for i in words:
                for letter in i:
                    if(letter.isspace):
                        k = k + 1
	return k
"
Generate weighted random numbers	"import random
randomList = random.choices(
	range(
        10, 40, 5), cum_weights=(
        5, 15, 10, 25, 40, 65), k=6)
print(randomList)
"
of two user provided positive integers.	"

def gcd(num1, num2):
	gcd = 1
	if num1 % num2 == 0:
        return num2
	for k in range(int(num2 / 2), 0, -1):
        if num1 % k == 0 and num2 % k == 0:
            gcd = k
            break
	return gcd
"
Define a class which has at least two methods:	"class InputOutString(object):
	def __init__(self):
        self.s = """"

	def getString(self):
        self.s = input()

	def printString(self):
        print(self.s.upper())


strObj = InputOutString()
strObj.getString()
strObj.printString()
"
Generate a random n-dimensional array of float numbers	"import numpy
random_float_array = numpy.random.rand(2, 2)
print(""2 X 2 random float array in [0.0, 1.0] \n"", random_float_array, ""\n"")
"
Write python program to find whether-number-power-two	"def is_power_of_two(n):
	
	if n <= 0:
        return False
	else:
        return n & (n - 1) == 0


n = int(input('Enter a number: '))


if is_power_of_two(n):
	print('{} is a power of two.'.format(n))
else:
	print('{} is not a power of two.'.format(n))
"
Bubble Sort	"

a = [2, 3, 8, 9, 2, 4, 6]
for i in range(0, len(a)):
	for j in range(0, len(a) - i - 1):
        if(a[j] > a[j + 1]):
            temp = a[j]
            a[j] = a[j + 1]
            a[j + 1] = temp
"
write a Python Program to Find the Square Root	"

num = 8


num_sqrt = num ** 0.5
print('The square root of %0.3f is %0.3f' % (num, num_sqrt))
"
"write a python program using ""all"" function"	"print(all([False, True, False, False]))
"
using cmath.polar() method	"num = cmath.polar(1)
print(num)
"
python program for vertical concatenating of mqatrix	"def vertical_concatenation():
	test_list = [
        [""this"", ""is""],
        [""program"", ""for""],
        [""vertical"", ""concatenation""]]
	print(""The original list : "" + str(test_list))
	res = []
	N = 0
	while N != len(test_list):
        temp = ''
        for idx in test_list:
            try:
                temp = temp + idx[N]
            except IndexError:
                pass
        res.append(temp)
        N = N + 1
	res = [ele for ele in res if ele]
	print(""List after column Concatenation : "" + str(res))


vertical_concatenation()
"
time in this cosmos.	"

def get_uuid():
	return uuid.uuid4()
"
times.	"from timeit import Timer
t = Timer(""for i in range(100):1+1"")
print(t.timeit())
"
the string, ignoring all other characters	"import re


inputStr = ""English = 78 Science = 83 Math = 68 History = 65""
markList = [int(num) for num in re.findall(r'\b\d+\b', inputStr)]
totalMarks = 0
for mark in markList:
	totalMarks += mark


percentage = totalMarks / len(markList)
print(""Total Marks is:"", totalMarks, ""Percentage is "", percentage)
"
list of numbers until the list becomes empty.	"num = [10, 20, 30, 40, 50, 60, 70, 80, 90]
len_list = len(num)
position = 3 - 1
idx = 0
while len_list > 0:
	idx = (idx + position) % len_list
	print(num.pop(idx))
	len_list -= 1
"
write a python program to implement Queue	"from collections import deque


class Queue():
	

	def __init__(self, max_size=10):
        

        self._queue = deque(maxlen=max_size)

	def enqueue(self, item):
        

        self._queue.append(item)

	def dequeue(self):
        

        return self._queue.pop()
"
write Python code to convert radian to degree	"def Convert(radian):
	pi = 3.14159
	degree = radian * (180 / pi)
	return degree


radian = 5
print(""degree ="", (Convert(radian)))
"
letters in a string	"sentence = 'The Quick Brown Fox'
lowercase = 0
uppercase = 0
for c in sentence:
	if c.isupper():
        uppercase += 1
	elif c.islower():
        lowercase += 1
	else:
        pass
print(f'Lowercase: {lowercase}, Uppercase: {uppercase}')
"
write a program to shuffle and print the list [3,6,7,8].	"from random import shuffle
li = [3, 6, 7, 8]
shuffle(li)
print(li)
"
a new list	"list1 = [1, 2, 3, 4, 5]
list2 = [5, 4, 3, 2, 1]
sum_list = [a + b for (a, b) in zip(list1, list2)]
print(sum_list)
"
81 Write a Python program to convert a given Bytearray to Hexadecimal string.	"def bytearray_to_hexadecimal(list_val):
	result = ''.join('{:02x}'.format(x) for x in list_val)
	return(result)
"
List using list comprehension + list slicing	"

test_list = ['Manjeets', 'Akashs', 'Akshats', 'Nikhils']


print(""The original list : "" + str(test_list))


K = 4


res = [sub[: len(sub) - K] for sub in test_list]


print(""The list after removing last characters : "" + str(res))
"
occurrence of an input from the list	"list1 = [5, 20, 15, 20, 25, 50, 20]


def removeValue(sampleList, val):
	return [value for value in sampleList if value != val]


resList = removeValue(list1, 20)
print(resList)
"
is input by a sequence of comma-separated numbers.	"values = input()
numbers = [x for x in values.split("","") if int(x) % 2 != 0]
print("","".join(numbers))
"
series in a given list	"def cal_total_res_in_series(res_list: list) -> float:
	return sum(res_list)
"
three-digit number and print the result.	"

import random


n = random() * 900 + 100
n = int(n)
print(n)


a = n // 100
b = (n // 10) % 10
c = n % 10


print(a + b + c)
"
41 how to sort a list in python using lambda	"data = [(""Apples"", 5, ""20""), (""Pears"", 1, ""5""), (""Oranges"", 6, ""10"")]


data.sort(key=lambda x: x[0])
"
write a program to extract string of N size and having K distict characters	"

str1 = 'GoodisalwaysGoood'

N = 3

K = 2

res = []


for idx in range(0, len(str1) - N + 1):

	if (len(set(str1[idx: idx + N])) == K):
        res.append(str1[idx: idx + N])

print(""Extracted Strings : "" + str(res))
"
the sum and average	"
L = [4, 5, 1, 2, 9, 7, 10, 8]

count = 0

for i in L:
	count += i


avg = count / len(L)

print(""sum = "", count)
print(""average = "", avg)
"
33 write a python function to flatten nested lists	"

def flatten(lis):
	for item in lis:
        if isinstance(item, Iterable) and not isinstance(item, str):
            for x in flatten(item):
                yield x
        else:
            yield item
"
write a Python function To Calculate Volume OF Cylinder	"pi = 22 / 7


def volume(r, h):
	vol = pi * r * r * h
	return vol


r = 5
h = 8


print(""Volume Of Cylinder = "", volume(r, h))
"
write a program to find length of list	"l = [1, 2, 3, 4, 5]
print(len(l))
"
write a python functionto test the equality of the float numbers	"def float_equality_testing(a, b):

	rel_tol = 1e-12
	abs_tol = 1e-05
	return abs(a - b) <= max(rel_tol * max(abs(a), abs(b)), abs_tol)
"
print it	"
test_dict = {""Gfg"": 5, ""is"": 8, ""Best"": 10, ""for"": 8, ""Geeks"": 9}

print(""The original dictionary is : "" + str(test_dict))

updict = {""Gfg"": 10, ""Best"": 17}
d = {}
for key in test_dict.keys():
	if key in updict:
        d.update({key: updict[key]})
	else:
        d.update({key: test_dict[key]})
print(d)
"
22 function to print marsh code equivalent from string.	"def encode_marsh(sen: str):
	char_to_dots = {'A': '.-', 'B': '-...', 'C': '-.-.', 'D': '-..', 'E': '.', 'F': '..-.',
                    'G': '--.', 'H': '....', 'I': '..', 'J': '.---', 'K': '-.-', 'L': '.-..',
                    'M': '--', 'N': '-.', 'O': '---', 'P': '.--.', 'Q': '--.-', 'R': '.-.',
                    'S': '...', 'T': '-', 'U': '..-', 'V': '...-', 'W': '.--', 'X': '-..-',
                    'Y': '-.--', 'Z': '--..', ' ': ' ', '0': '-----',
                                      '1': '.----', '2': '..---', '3': '...--', '4': '....-', '5': '.....',
                                      '6': '-....', '7': '--...', '8': '---..', '9': '----.',
                                      '&': '.-...', ""'"": '.----.', '@': '.--.-.', ')': '-.--.-', '(': '-.--.',
                                      ':': '---...', ',': '--..--', '=': '-...-', '!': '-.-.--', '.': '.-.-.-',
                                      '-': '-....-', '+': '.-.-.', '""': '.-..-.', '?': '..--..', '/': '-..-.'
                    }
	for i in sen:
        print(char_to_dots[i.upper()])
"
and print it	"

test_str = '5x6, 9x10, 7x8'
"
write a python program to drop microseconds from datetime.	"

import datetime
dt = datetime.datetime.today().replace(microsecond=0)
dt
"
Subtract a week from a given date	"from datetime import datetime, timedelta
given_date = datetime(2020, 2, 25)
days_to_subtract = 7
res_date = given_date - timedelta(days=days_to_subtract)
print(res_date)
"
check if all char in the string are alphabetic	"word = ""Hello World""
check = word.isalpha()
print(f""All char are alphabetic?:{check}"")
"
order	"def sort_descending(list_to_be_sorted):
	return sorted(list_to_be_sorted, reverse=True)
"
write python function to detect if a number is even number	"def is_even(num):
	return((num % 2) == 0)
"
are inputs to this function.	"def filter_with_key_value(list_of_dicts, key, value):
	return list(filter(lambda x: x.get(key) == value, list_of_dicts))
"
insensitive )	"def palindrome_str_check(value: str):
	
	if isinstance(value, str):
        print(value.lower() == value[::-1].lower())
	else:
        raise ValueError('Invalid Input')
"
lists of the same size	"

def rss(lst1, lst2):
	diff = [lst1[x] - lst2[x] for x in range(len(lst1))]
	return sum(list(map(lambda x: x ** 2, diff)))
"
string in lexicographic sorted order.	"def get_ordered_permutations(word, k):
	[print(''.join(x)) for x in sorted(list(permutations(word, int(k))))]
"
rate r and time in years y	"def get_ci(p: float, r: float, t: float, n: float) -> float:
	return round(p * ((1 + (r / (n * 100)))**(n * t)) - p, 2)
"
write a python program to print the difference in days between two dates	"from datetime import date
date1 = date(2020, 10, 25)
date2 = date(2020, 12, 25)
print(f'Difference between dates: {(date2 - date1).days}')
"
62 custom counter function	"def custom_counter():
	
	x = 0

	def inner():
        nonlocal x
        x += 1
        print(f' Switch or button is called {x} times')
	return inner
"
combined path string	"import os


def path_join(PARENT_DIR, DIR):
	joined_path = os.path.join(PARENT_DIR, DIR)
	return joined_path


path_join(""C:/"", ""DATA"")
"
Write a Python program to sort a tuple of tuples by 2nd item	"tuple1 = (('a', 23), ('b', 37), ('c', 11), ('d', 29))
tuple1 = tuple(sorted(list(tuple1), key=lambda x: x[1]))
print(tuple1)
"
Write a function to return the lateral surface area of a cylinder	"def cal_cylinder_lat_surf_area(height, radius):
	pi = 3.14
	return 2 * pi * radius * height
"
Write a Python program to access a function inside a function	"def test(a):
	def add(b):
        nonlocal a
        a += 1
        return a + b
	return add


func = test(4)
print(func(4))
"
write a function to check if a upper case letter exists in a given string	"

def check_upper(str1):

	for char in str1:
        k = char.isupper()
        if k == True:
            return True
	if(k != 1):
        return False
"
Python function to check whether a number is divisible by another number	"def multiple(m, n):
	return True if m % n == 0 else False


print(multiple(20, 5))
print(multiple(7, 2))
"
Write a function to return the cartisian distance between two points	"def cal_cart_distance(x1: float, y1: float, x2: float, y2: float) -> float:
	return ((x1 - x2)**2 + (y1 - y2)**2)**(1 / 2)
"
write a python program to print a list in sorted order	"basket = ['apple', 'orange', 'apple', 'pear', 'orange', 'banana']
print(sorted(basket))
"
"write a python program that would print ""Hello World"""	"print(""Hello World"")
"
lines after making all characters in the sentence capitalized.	"lines = []
while True:
	s = raw_input()
	if s:
        lines.append(s.upper())
	else:
        break
for sentence in lines:
	print(sentence)
"
element is a Tuple  and print it	"
li = [4, 5, 6, 10, (1, 2, 3), 11, 2, 4]
count = 0
for i in li:
	if isinstance(i, tuple):
        break
	count = count + 1
print(f'count of element till tuple is encountered {count}')
"
write a python program to make use of regular expression for matching	"

print(
	'Find the characters in the given string:',
	re.findall(
        r'[a-z]+',
        '123FOO456',
        flags=re.IGNORECASE))
"
Write a python function to remove spaces from a given string	"def remove_spaces_from_string(string):
	return string.replace(' ', '')
"
88 write a python program to print Dissimilar Elements in Tuples	"
test_tup1 = (3, 4, 5, 6)
test_tup2 = (5, 7, 4, 10)

print(""The original tuple 1 : "" + str(test_tup1))
print(""The original tuple 2 : "" + str(test_tup2))
c = tuple()
c = tuple(set(test_tup1) ^ set(test_tup2))
print(f'Dissimilar element tuple is {c}')
"
Find the middle element of a random number list	"my_list = [4, 3, 2, 9, 10, 44, 1]
print(""mid value is "", my_list[int(len(my_list) / 2)])
"
needs to print all values except the first 5 elements in the list.	"import requests


def get_encoding(url):
	data = requests.get(url)
	return data.encoding
"
Butterfly on Jun 14 2020 Donate	"data = [7, 7, 7, 7]
print(*data, sep='')
"
